frase,sentimiento
¡Qué día tan maravilloso! El sol brilla, los pájaros cantan y me siento lleno de energía,Alegría
Aprobé el examen con la mejor nota ¡Estoy tan feliz!,Alegría
Me siento tan solo y vacío Extraño mucho a mi familia,Tristeza
Hoy recibí malas noticias Estoy muy triste y desanimado,Tristeza
Tengo tanto que hacer y tan poco tiempo Me siento abrumado y estresado,Estrés
No puedo más con esta presión Todo me sale mal y estoy al borde del colapso,Estrés
No puedo dejar de pensar en el futuro Me preocupa no encontrar un buen trabajo,Inquietud/Preocupación
Espero que mi amigo esté bien No he tenido noticias suyas en días y estoy preocupado,Inquietud/Preocupación
¡Es injusto! Me han tratado mal y estoy furioso,Enojo
Esa película de terror me dejó aterrado No puedo dormir ahora,Miedo
¡Gané la lotería! No puedo creerlo, estoy tan emocionado,Alegría
Mi mascota falleció hoy Estoy devastado,Tristeza
El tráfico me pone de los nervios Llego tarde al trabajo,Estrés
Me inquieta la salud de mi madre Últimamente no se ha sentido bien,Inquietud/Preocupación
Estoy indignado por la corrupción en este país,Enojo
Temo que me despidan del trabajo,Miedo
Este día no podría ser mejor Todo me está saliendo bien,Alegría
Perdí mi trabajo y no sé qué voy a hacer,Tristeza
Me siento ansioso por la presentación de mañana,Inquietud/Preocupación
Estoy enojado conmigo mismo por cometer ese error,Enojo
